a	b	c	d	e	f
data\source\maps_source\小物件\生活品\xwj_煤堆001_01_hd.mesh	1024_昼夜循环	20023.390625,877.7631225585938,48341.8359375	0	{07526369-6a3e-4f16-b0cd-6707f48b1b16}	world_object
data\source\maps_source\城市\再来镇\jz_再来镇002_015_hd.mesh	1024_昼夜循环	20899.5,-361.12841796875,36333.5	0	{07feb837-4365-43f0-b48b-d6442b488365}	world_object
data\source\maps_source\石头\st_野外石头001_003_hd.mesh	1024_昼夜循环	29531.203125,128.0364990234375,43429.015625	0	{0806ade7-934f-4ca6-856a-86e58d2f6bcc}	world_object
data\source\maps_source\石头\st_泉水石004_hd.mesh	1024_昼夜循环	27491.375,175.233154296875,42503.125	0	{08803eb0-b716-42d0-b0ff-0fed435c8dce}	world_object
data\source\maps_source\建筑配套\pj_围堤004_008_hd.mesh	1024_昼夜循环	49079.1640625,24.27294921875,46707.1484375	0	{0a01ff28-f304-4c58-8b72-fe28c381e5f8}	world_object
data\source\maps_source\小物件\木箱\wj_dxc木箱001_007_hd.mesh	1024_昼夜循环	20600.4296875,15.8046875,42552.59375	0	{0a0c2042-ff68-42da-984e-601e2067d6c1}	world_object
data\source\maps_source\小物件\货摊\wj_扬州摊子001_003_hd.mesh	1024_昼夜循环	33670.640625,143.459716796875,39978.859375	0	{0a2c9cd5-48a3-47aa-8d2d-552145152da3}	world_object
data\source\maps_source\建筑配套\pj_再来镇围堤001_007_hd.mesh	1024_昼夜循环	12812.51171875,-93.8486328125,34891.546875	0	{0ab60a1e-cae0-4f3f-a5fe-54daf6459666}	world_object
data\source\maps_source\灌木\gm_灌木001_001_hd.mesh	1024_昼夜循环	42959.6328125,235.063232421875,49110.03125	0	{0abea968-6ecf-47c5-abb8-7fc0e0457237}	world_object
data\source\maps_source\建筑配套\pj_围堤004_009_hd.mesh	1024_昼夜循环	33642.703125,-241.47509765625,38214.56640625	0	{0ac58284-a9d3-4659-a67b-0798d578756a}	world_object
data\source\maps_source\门派\少林\st_少林山石001_004_hd.mesh	1024_昼夜循环	28512.5703125,-76.6435546875,46348.25390625	0	{0bdc1a53-935c-4c63-9b26-1d406bef4f6d}	world_object
data\source\maps_source\石头\st_wts碎石001_008_hd.mesh	1024_昼夜循环	31891.671875,81.262939453125,44215.890625	0	{0c6c47f0-7aa8-489d-9315-5580a6211fce}	world_object
data\source\maps_source\桥\q_木桥010_003_hd.mesh	1024_昼夜循环	37972.0703125,-101.556640625,47554.671875	0	{0c9ab87e-1e58-4b96-8722-166439ebfd83}	world_object
data\source\maps_source\小物件\栏杆\wj_木栏杆002_001_hd.mesh	1024_昼夜循环	45486.921875,786.3648071289062,12357.7529296875	0	{0e10ce55-722e-4ebd-b94c-55078f0a9120}	world_object
data\source\maps_source\小物件\生活品\wj_七秀染坊配件001_005a_hd.mesh	1024_昼夜循环	22721.390625,628.5159301757812,39018.234375	0	{0e1cd7ec-35fb-4f1e-b139-6f72fb63959d}	world_object
data\source\maps_source\小物件\室内\wj_sn茅草房001_001_hd.mesh	1024_昼夜循环	15716.921875,964.0654907226562,38691.53125	0	{0e8ae597-faf8-4213-9772-7aae92208fb5}	world_object
data\source\maps_source\小物件\武器\wj_土匪物件001_008_hd.mesh	1024_昼夜循环	36178.40625,1443.6337890625,9735.556640625	0	{0f943a80-337d-439b-984d-bfd4221ae0fc}	world_object
data\source\maps_source\小物件\室内\wj_sn茅草房001_013_hd.mesh	1024_昼夜循环	15177.7265625,1049.38623046875,38728.6875	0	{0fdb90ad-00e4-47d8-8405-09946e52189b}	world_object
data\source\maps_source\小物件\生活品\xwj_农家物件003_002_hd.mesh	1024_昼夜循环	15070.3671875,807.26123046875,39048.7578125	0	{0ff1d4ad-c3bb-48a1-bcb7-7ee12e848cb4}	world_object
data\source\maps_source\门派\少林\st_少林山石001_007_hd.mesh	1024_昼夜循环	7556.7578125,1423.47119140625,35607.5625	0	{10ca29f2-c4a9-45a3-8f35-583f208eb0d7}	world_object
data\source\maps_source\石头\st_野外石头002_006_hd.mesh	1024_昼夜循环	3145.8203125,2277.93310546875,42810.09765625	0	{11237f3b-8917-4096-aa28-914582463d7f}	world_object
data\source\maps_source\小物件\生活品\wj_晒鱼架001_001_hd.mesh	1024_昼夜循环	12229.51953125,177.984619140625,40558.0078125	0	{1164d1c8-e47f-47be-a1c3-6451af16224e}	world_object
data\source\maps_source\小物件\生活品\wj_酒菜001_001_hd.mesh	1024_昼夜循环	-44333.54291284713,143.55166625976562,-32267.202138829743	0	{1177ee43-7766-4b9f-ac8a-94ac6dab40ca}	group_object
data\source\maps_source\建筑配套\pj_围堤004_003_hd.mesh	1024_昼夜循环	31910.234375,-246.85595703125,46854.859375	0	{12a606df-41be-4237-8ac4-fcf52a4fb4cb}	world_object
data\source\maps_source\小物件\室内\xwj_ca柜子003_003_hd.mesh	1024_昼夜循环	22818.28125,485.3254699707031,38536.19140625	0	{1318ac83-0ec1-4f65-9e60-2778a598eecb}	world_object
data\source\maps_source\门派\少林\st_少林山石002_003_hd.mesh	1024_昼夜循环	24926.515625,98.813720703125,39789.12109375	0	{13288a69-0c51-4adc-8405-b744227cae90}	world_object
data\source\maps_source\石头\st_sl路边石头001_007_hd.mesh	1024_昼夜循环	29841.15625,252.83203125,48100.421875	0	{1344356b-686f-4e76-bddc-002f7f923cba}	world_object
data\source\maps_source\建筑配套\pj_再来镇围堤001_001_hd.mesh	1024_昼夜循环	25710.4921875,-371.510498046875,39481.59375	0	{135b8f5f-6a28-4cdc-b72a-7d5916008ef2}	world_object
data\source\maps_source\城市\杨洲\wj_布棚001_hd.mesh	1024_昼夜循环	24895.03125,51.01220703125,48957.35546875	0	{13f06063-b7d8-4210-a1a4-a26fc5d9c0b6}	world_object
data\source\maps_source\小物件\农具\wj_dcy晒草架001_001_hd.mesh	1024_昼夜循环	27055.203125,155.180419921875,34536.14453125	0	{145df7b9-8e24-46c7-8125-379435e78cba}	world_object
data\source\maps_source\小物件\桌凳\wj_石桌001_005_hd.mesh	1024_昼夜循环	44644.828125,177.5869140625,51138.01171875	0	{14bbab1b-56a3-4fac-a799-edea31f42e65}	world_object
data\source\maps_source\石头\st_野外石头001_007_hd.mesh	1024_昼夜循环	32119.4296875,135.4970703125,37113.984375	0	{165250de-30e6-44a9-b01b-986f8da9d241}	world_object
data\source\maps_source\小物件\室内\xwj_ca柜子003_002_hd.mesh	1024_昼夜循环	26509.59375,810.9342041015625,46592.40234375	0	{17f14531-9361-4c73-b2aa-679ef4ed4e71}	world_object
data\source\maps_source\小物件\坛罐\xwj_坛子002_001_hd.mesh	1024_昼夜循环	20800.640625,19.80615234375,42725.4765625	0	{1ab7f99b-0233-4fea-b9fb-299c6b13d389}	world_object
data\source\maps_source\建筑配套\pj_再来镇围堤001_005_hd.mesh	1024_昼夜循环	25579.640625,30.33251953125,43648.625	0	{1c0b66a3-5112-45b7-808e-c132e42aa4b5}	world_object
data\source\maps_source\小物件\生活品\wj_木堆001_hd.mesh	1024_昼夜循环	15016.0703125,183.8671875,37733.76171875	0	{1dea350d-9bc2-4dc8-a1f4-518ea0b8abe3}	world_object
data\source\maps_source\小物件\室内\wj_sn茅草房001_004_hd.mesh	1024_昼夜循环	15702.3125,200.04638671875,38440.296875	0	{1e3e9d20-dc41-414a-8b0b-529ead63600c}	world_object
data\source\maps_source\桥\q_木桥014_001_hd.mesh	1024_昼夜循环	13740.484375,200.578857421875,43646.234375	0	{21719f64-104c-4527-bbd7-42c4c2e40d9e}	world_object
data\source\maps_source\建筑配套\pj_围堤梯子004_005_hd.mesh	1024_昼夜循环	34859.734375,-117.49261474609375,46668.7265625	0	{22152674-216e-479a-8773-6b5dba9179aa}	world_object
data\source\maps_source\石头\st_泉水石013_hd.mesh	1024_昼夜循环	28599.1875,725.786376953125,47222.48046875	0	{221704f2-caa2-49f3-b8c1-c5c5f22eb2ac}	world_object
data\source\maps_source\花草\hc_dhg花架001_002_hd.mesh	1024_昼夜循环	13744.1484375,126.944091796875,38606.20703125	0	{234b5088-50cb-40dc-9277-9babbde0b99b}	world_object
data\source\maps_source\树\s_倒地枯树干050b1_hd.mesh	1024_昼夜循环	29829.1484375,-353.89990234375,44473.92578125	0	{23ba33ac-7280-45d8-a6ac-609d76caf13a}	world_object
data\source\maps_source\城市\再来镇\jz_再来镇002_004_hd.mesh	1024_昼夜循环	35672.6484375,136.150634765625,43035.875	0	{267c6edc-5dea-42e2-9a07-3e282c820c02}	world_object
data\source\maps_source\小物件\生活品\wj_木头架子_018_001_hd.mesh	1024_昼夜循环	35891.2578125,1445.6495361328125,9125.6943359375	0	{280606eb-1fc0-4de3-b41b-fb16ce4e707b}	world_object
data\source\maps_source\石头\st_石头009_004_hd.mesh	1024_昼夜循环	33481.0078125,337.7421875,49007.80078125	0	{2854329c-170e-4659-8b1e-1222883ad77a}	world_object
data\source\maps_source\石头\st_少林大山石001_002_hd.mesh	1024_昼夜循环	14487.6796875,-452.25390625,27200.80078125	0	{286aa8af-2922-44f8-8ed5-c270201fad0f}	world_object
data\source\maps_source\小物件\灯\wj_石灯001_hd.mesh	1024_昼夜循环	38628.2421875,269.333984375,47350.6171875	0	{28edc704-d836-43ca-8249-70158450892a}	world_object
data\source\maps_source\建筑室内\jz_再来镇001_006sw_hd.mesh	1024_昼夜循环	15511.453125,157.75341796875,38844.8515625	0	{2a59d561-d9da-4232-bc96-4cd2bab25cb9}	world_object
data\source\maps_source\小物件\室内\xwj_ca柜子001_010_hd.mesh	1024_昼夜循环	23985.5078125,483.0751953125,38820.66015625	0	{2c3c5eaa-ca8b-4325-a6fd-b816a1cf8949}	world_object
data\source\maps_source\石头\st_少林大山石001_007_hd.mesh	1024_昼夜循环	5002.34765625,5508.044921875,35077.55078125	0	{2ccc54d1-767b-4979-96f0-3d54ab3784be}	world_object
data\source\maps_source\小物件\室内\xwj_ca柜子001_006_hd.mesh	1024_昼夜循环	26866.5546875,794.3870849609375,46772.6484375	0	{2cf8bf57-88e3-439a-830f-fce15aeef7b6}	world_object
data\source\maps_source\小物件\室内\wj_sn茅草房001_009_hd.mesh	1024_昼夜循环	20726.8515625,90.94328308105469,46702.0234375	0	{2cfd3af7-73e3-4069-b5e6-609a8a260d74}	world_object
data\source\maps_source\小物件\草垛\wj_草垛001_001_hd.mesh	1024_昼夜循环	39528.265625,37.84573745727539,22915.765625	0	{2f0fead9-704f-47ab-a0bd-58662e8fef35}	world_object
data\source\maps_source\小物件\生活品\wj_木头架子_017_001_hd.mesh	1024_昼夜循环	19564.390625,315.10089111328125,50560.5625	0	{2fa1ad59-c7a7-4ca6-849b-e5b327458136}	world_object
data\source\maps_source\小物件\木箱\wj_木箱004_002_hd.mesh	1024_昼夜循环	13888.078125,2664.283203125,16354.763671875	0	{3021214c-bee7-42ed-a8b6-96c6f715d539}	world_object
data\source\maps_source\小物件\灯\xwj_扬州路灯002_004a_hd.mesh	1024_昼夜循环	26455.140625,1879.697265625,46574.203125	0	{31af325c-a4c6-402b-9cb2-8946dc2380fc}	world_object
data\source\maps_source\小物件\农具\wj_马槽001_001_hd.mesh	1024_昼夜循环	25310.8984375,160.00048828125,38957.4609375	0	{33ca15d7-aaf3-49ce-bd68-280eca25e735}	world_object
data\source\maps_source\小物件\木箱\wj_物什箱014_001_hd.mesh	1024_昼夜循环	24463.8515625,482.1498718261719,38562.69921875	0	{3486a2fd-ccba-445a-9870-bf266b65fbf1}	world_object
data\source\maps_source\小物件\生活品\wj_烹饪菜架001_004_hd.mesh	1024_昼夜循环	15338.1328125,197.54248046875,40393.9375	0	{36d20061-1f3e-40d0-b10c-5985b2282b81}	world_object
data\source\maps_source\小物件\生活品\wj_药柜001_hd.mesh	1024_昼夜循环	24824.4296875,786.107177734375,47277.82421875	0	{36ec71ec-a6e1-444f-8d96-0296677bc5d9}	world_object
data\source\maps_source\建筑配套\pj_布棚001_hd.mesh	1024_昼夜循环	22884.34375,76.6497802734375,47207.765625	0	{3ae45e98-0b35-4811-b098-b9affccbe211}	world_object
data\source\maps_source\建筑配套\pj_春节木过道001_012_hd.mesh	1024_昼夜循环	26878.6640625,29.740753173828125,40426.90234375	0	{3b1fa4e6-83b5-4cf2-83ad-2fc9a8b9419b}	world_object
data\source\maps_source\石头\st_wts碎石001_009_hd.mesh	1024_昼夜循环	33434.6953125,284.392822265625,50802.69140625	0	{3e8651e9-cbe8-4381-aa80-758f1d53742d}	world_object
data\source\maps_source\门派\少林\pj_sl月台基座大型001_001_hd.mesh	1024_昼夜循环	32432.203125,-43.00390625,42340.42578125	0	{3f8d9112-ba7b-46a6-bf2f-23d8ffe8bcc9}	world_object
data\source\maps_source\小物件\灯\wj_火堆001_002_hd.mesh	1024_昼夜循环	14966.0625,2630.31103515625,16676.70703125	0	{3fda30f5-37ef-4581-a1fe-2d27d0306f20}	world_object
data\source\maps_source\小物件\坛罐\xwj_破坛子002_001_hd.mesh	1024_昼夜循环	46394.953125,857.9436645507812,10739.1884765625	0	{416c3333-0a66-4963-9523-b5f874d04c07}	world_object
data\source\maps_source\石头\st_野外石头003_005_hd.mesh	1024_昼夜循环	28353.578125,99.29833984375,44613.29296875	0	{43acc616-e183-433c-becb-43e4423239fc}	world_object
data\source\maps_source\石头\st_少林石头001_004_hd.mesh	1024_昼夜循环	16423.6015625,237.130859375,45984.20703125	0	{45f84330-525f-4ba2-81c9-d93ac445ee05}	world_object
data\source\maps_source\小物件\室内\wj_sn茅草房001_008_hd.mesh	1024_昼夜循环	19755.578125,872.2492065429688,46184.8125	0	{47884f2b-446a-4692-be63-76253c43c177}	world_object
data\source\maps_source\建筑配套\pj_茅草配件002_hd.mesh	1024_昼夜循环	36941.9609375,22.54848861694336,31684.490234375	0	{47f83018-4c34-4c88-8801-506083264694}	world_object
data\source\maps_source\城市\再来镇\jz_再来镇002_012_hd.mesh	1024_昼夜循环	25132.0,161.101806640625,38616.07421875	0	{4cd5e124-4456-41c8-8fc1-5ef61448aacb}	world_object
data\source\maps_source\石头\st_少林大山石001_005_hd.mesh	1024_昼夜循环	6944.37109375,-793.53076171875,32153.0703125	0	{4e1a0468-ed26-4ff0-9373-f8bfde01716f}	world_object
data\source\maps_source\门派\少林\pj_sl破月台基座001_007_hd.mesh	1024_昼夜循环	33395.1875,165.748779296875,41846.57421875	0	{529eb7ff-cda9-4f8b-bb39-31e15745f8f9}	world_object
data\source\maps_source\小物件\坛罐\xwj_破坛子001_001_hd.mesh	1024_昼夜循环	23300.6875,275.7384338378906,39897.640625	0	{551221aa-70fd-4a0a-95c5-8ca26acc9bf7}	world_object
data\source\maps_source\石头\st_sl崖壁001_005_hd.mesh	1024_昼夜循环	38205.140625,-167.8282470703125,48971.88671875	0	{5a3278fe-1d72-4259-8104-0678d249bd92}	world_object
data\source\maps_source\小物件\生活品\wj_破草席001_002_hd.mesh	1024_昼夜循环	19560.1015625,877.5484619140625,49053.47265625	0	{5acbf0e3-d85a-4dc8-99be-8fd6285ae5f1}	world_object
data\source\maps_source\小物件\生活品\wj_晾晒架005_hd.mesh	1024_昼夜循环	26713.5546875,184.18067932128906,41960.06640625	0	{5b7df969-8798-4432-b5d9-77065a111d9c}	world_object
data\source\maps_source\建筑室内\jz_再来镇001_005sn_hd.mesh	1024_昼夜循环	18652.3828125,164.768798828125,34591.1171875	0	{5c3415a2-e348-4c20-b6c6-fcdef40d9f21}	world_object
data\source\maps_source\石头\st_少林石头001_002_hd.mesh	1024_昼夜循环	17276.390625,86.041015625,45390.52734375	0	{5c72daa2-f99b-490b-ba35-c2f992265e7b}	world_object
data\source\maps_source\小物件\木箱\wj_dxc木箱001_006_hd.mesh	1024_昼夜循环	29438.4140625,190.89468383789062,42410.41796875	0	{5d62ec4e-bcd2-4901-b337-37b05573cfce}	world_object
data\source\maps_source\小物件\木箱\wj_圆水木桶003_hd.mesh	1024_昼夜循环	38935.109375,295.4404296875,48126.53125	0	{5d8e6ee7-b4ff-44df-b3d1-7bcf43ebd635}	world_object
data\source\maps_source\城市\杨洲\wj_货物001_001_hd.mesh	1024_昼夜循环	25429.203125,84.3048095703125,49267.97265625	0	{5ebc803b-9de8-4b77-9969-c6fd2e5d490c}	world_object
data\source\maps_source\石头\st_wts碎石001_005_hd.mesh	1024_昼夜循环	12051.48828125,167.0318603515625,39103.77734375	0	{5eccffdf-0fb2-456f-b05e-a2a927f18e29}	world_object
data\source\maps_source\石头\st_泉水石003_hd.mesh	1024_昼夜循环	32128.609375,173.6478271484375,42604.875	0	{5ef2c675-53a6-4fd7-bf5d-f923817f51cc}	world_object
data\source\maps_source\城市\洛阳\wj_ly摊子006_001_hd.mesh	1024_昼夜循环	20733.6796875,78.09033203125,50188.484375	0	{5fa1005d-c129-4268-91c3-400729b62e25}	world_object
data\source\maps_source\石头\st_wts碎石001_006_hd.mesh	1024_昼夜循环	12846.38671875,267.2431640625,35199.92578125	0	{5fc8bddf-1852-4a73-952d-261c9e7ba9da}	world_object
data\source\maps_source\建筑\jz_破旧军营关卡001_002_hd.mesh	1024_昼夜循环	3853.6953125,3210.8828125,9487.212890625	0	{60481a0d-7928-4579-9ff7-1e07f3c05800}	world_object
data\source\maps_source\石头\st_水上石头001_003_hd.mesh	1024_昼夜循环	31495.671875,-162.00439453125,43615.70703125	0	{6a9ab362-176f-49eb-ab32-960899fd73ca}	world_object
data\source\maps_source\石头\st_sl路边石头001_006_hd.mesh	1024_昼夜循环	22246.75,-378.6611328125,33415.61328125	0	{6b5d3d0a-29bf-4bc5-853f-ca931b3f3482}	world_object
data\source\maps_source\小物件\车\wj_破车001_002_hd.mesh	1024_昼夜循环	27854.4375,639.683349609375,49585.265625	0	{6c0458e8-e0e7-4550-a483-8b0f7f74f74d}	world_object
data\source\maps_source\门派\少林\st_少林山石001_002_hd.mesh	1024_昼夜循环	16149.890625,-430.04248046875,47879.828125	0	{6d7da282-ee54-4958-b451-c8007325c8c4}	world_object
data\source\maps_source\小物件\农具\wj_破水车006_002_hd.mesh	1024_昼夜循环	46315.1171875,2.44329833984375,28993.859375	0	{6fed2f6f-a8c2-4937-888a-0cb2a15aa461}	world_object
data\source\maps_source\小物件\生活品\xwj_树桩001_001_hd.mesh	1024_昼夜循环	41327.1796875,15.301239013671875,22152.974609375	0	{72333159-1e15-4df7-ad3c-19e83f5d9ee5}	world_object
data\source\maps_source\灌木\gm_蔬菜001_001_hd.mesh	1024_昼夜循环	13415.41015625,152.430419921875,37867.09765625	0	{72c39e4a-bc49-45a1-b45b-6c06318cbbe9}	world_object
data\source\maps_source\小物件\生活品\wj_z舞艺店屏风_001_hd.mesh	1024_昼夜循环	26080.7421875,790.4024047851562,45451.76953125	0	{754addf5-96b6-48e1-8896-da8ae0fcef11}	world_object
data\source\maps_source\建筑室内\jz_再来镇001_007sw_hd.mesh	1024_昼夜循环	24935.703125,173.8154296875,34263.9140625	0	{7561d070-32bc-4745-a2a0-f630bd1e40c6}	group_object
data\source\maps_source\建筑室内\jz_再来镇001_007sn_hd.mesh	1024_昼夜循环	24935.703125,173.8154296875,34263.9140625	0	{7561d070-32bc-4745-a2a0-f630bd1e40c6}	group_object
data\source\maps_source\小物件\井\xwj_井001_hd.mesh	1024_昼夜循环	16629.9921875,177.019287109375,35374.13671875	0	{773acf2f-7743-4b06-bed8-68d685102fdd}	world_object
data\source\maps_source\建筑室内\jz_再来镇001_002sw_hd.mesh	1024_昼夜循环	26460.765625,747.703857421875,46073.96484375	0	{789ab603-d406-4c4f-9c31-3b4c6532055c}	world_object
data\source\maps_source\建筑配套\pj_帐篷003_01_hd.mesh	1024_昼夜循环	36624.1328125,1449.8531494140625,6858.15966796875	0	{795e8dcf-2ae8-4eb3-9544-e82d97806db9}	world_object
data\source\maps_source\石头\st_水上石头001_002_hd.mesh	1024_昼夜循环	30746.1640625,-94.6673583984375,51075.08203125	0	{7a98abd0-3909-472d-9cca-dc43915ae6f3}	world_object
