x	y	z	stay	mapid
10258	17491	1049792	0	5
10196	17289	1049792	0	5
10185	17079	1049792	0	5
10185	16864	1049792	0	5
10185	16647	1049792	0	5
10256	16450	1049344	0	5
10427	16336	1049152	0	5
10622	16255	1049152	0	5
10830	16219	1049088	0	5
11034	16249	1049472	0	5
11238	16224	1049600	0	5
11405	16096	1049728	0	5
11570	15964	1049664	0	5
11729	15828	1049536	0	5
11883	15688	1049344	0	5
12069	15586	1049344	0	5
12274	15544	1049472	0	5
12473	15494	1049728	0	5
12638	15371	1049664	0	5
12777	15209	1049536	0	5
12905	15040	1049536	0	5
13035	14872	1049536	0	5
13194	14731	1049536	0	5
13361	14594	1049600	0	5
13526	14451	1049536	0	5
13691	14313	1049536	0	5
13848	14171	1049536	0	5
14016	14042	1049472	0	5
14186	13914	1049344	0	5
14326	13758	1049344	0	5
14450	13582	1049088	0	5
14567	13410	1048832	0	5
14698	13242	1048640	0	5
14841	13077	1048576	0	5
14984	12912	1048512	0	5
15127	12747	1048576	0	5
15270	12582	1048576	0	5
15413	12427	1048768	0	5
15565	12273	1049088	0	5
15726	12127	1049344	0	5
15850	11955	1049600	0	5
15971	11782	1049920	0	5
16092	11610	1050240	0	5
16220	11445	1050624	0	5
16313	11259	1051200	0	5
16405	11078	1051648	0	5
16528	10908	1051648	0	5
16639	10727	1051712	0	5
16763	10557	1051776	0	5
16925	10420	1051840	0	5
17037	10240	1051904	0	5
17150	10064	1052224	0	5
17329	9961	1052480	0	5
17537	9984	1052864	0	5
17746	10012	1053056	0	5
17952	10027	1053248	0	5
18159	10034	1053120	0	5
18362	10057	1052800	0	5
18556	10135	1052416	0	5
18753	10202	1051840	0	5
18942	10287	1051392	0	5
19098	10420	1050752	0	5
19120	10626	1050304	0	5
19088	10833	1050176	0	5
19076	11039	1050240	0	5
19076	11244	1050368	0	5
19076	11453	1050368	0	5
19079	11657	1050176	0	5
19098	11866	1049920	0	5
19166	12060	1049856	0	5
19303	12223	1049856	0	5
19499	12290	1049728	0	5
19707	12279	1049600	0	5
19908	12215	1049664	0	5
20083	12112	1049984	0	5
20266	12017	1050112	0	5
20460	11936	1050112	0	5
20657	11863	1049984	0	5
20856	11799	1049792	0	5
21064	11774	1049536	0	5
21271	11779	1049408	0	5
21447	11662	1049152	0	5
21378	11467	1049024	0	5
21226	11321	1049088	0	5
21030	11270	1049088	0	5
20827	11217	1049088	0	5
20634	11127	1049088	0	5
20447	11026	1049088	0	5
20261	10917	1049152	0	5
20074	10807	1049088	0	5
19887	10697	1049088	0	5
19700	10587	1049024	0	5
19513	10491	1049408	0	5
19325	10408	1049984	0	5
19120	10356	1050816	0	5
18923	10315	1051392	0	5
18720	10271	1051904	0	5
18515	10216	1052352	0	5
18313	10163	1052736	0	5
18105	10120	1053120	0	5
17906	10053	1053248	0	5
17721	9962	1052992	0	5
17555	9834	1052864	0	5
17545	9625	1052992	0	5
17584	9427	1053120	0	5
17775	9341	1053312	0	5
17978	9265	1054080	0	5
18191	9221	1054976	0	5
18399	9206	1055936	0	5
18607	9186	1056576	0	5
18796	9109	1057216	0	5
18963	8996	1057664	0	5
19139	8875	1058048	0	5
19330	8781	1058368	0	5
19528	8700	1058688	0	5
19731	8647	1058944	0	5
19939	8628	1059264	0	5
20146	8636	1059456	0	5
20353	8647	1059712	0	5
20562	8658	1059904	0	5
20771	8669	1060160	0	5
20980	8680	1060352	0	5
21189	8691	1060544	0	5
21398	8696	1060736	0	5
21607	8701	1060928	0	5
21744	8858	1061056	0	5
21940	8928	1061120	0	5
22138	8994	1061248	0	5
22347	8989	1061376	0	5
22554	8967	1061504	0	5
22758	8945	1061760	0	5
22967	8923	1061952	0	5
23176	8901	1062080	0	5
23385	8879	1062144	0	5
23593	8857	1062208	0	5
23802	8835	1062272	0	5
24011	8813	1062400	0	5
24166	8677	1062464	0	5
24363	8600	1062592	0	5
24561	8523	1062720	0	5
24758	8447	1062912	0	5
24955	8371	1063104	0	5
25163	8353	1063232	0	5
25369	8323	1063360	0	5
25577	8279	1063488	0	5
25784	8235	1063616	0	5
25993	8191	1063744	0	5
26202	8147	1063872	0	5
26409	8103	1064064	0	5
26616	8059	1064256	0	5
26826	8042	1064384	0	5
27035	8064	1064448	0	5
27223	8158	1064512	0	5
27410	8257	1064576	0	5
27600	8352	1064576	0	5
27798	8420	1064576	0	5
27996	8486	1064576	0	5
28194	8552	1064704	0	5
28394	8624	1064768	0	5
28588	8701	1064768	0	5
28795	8747	1064896	0	5
29008	8773	1065920	0	5
29207	8795	1066240	0	5
29415	8824	1066496	0	5
29624	8840	1066368	0	5
29840	8841	1066368	0	5
30049	8819	1066368	0	5
30249	8763	1066944	0	5
30447	8693	1067712	0	5
30656	8653	1067712	0	5
30860	8634	1067840	0	5
31067	8618	1067904	0	5
31275	8629	1068032	0	5
31484	8654	1068096	0	5
31692	8683	1068224	0	5
31901	8734	1068352	0	5
32107	8790	1068480	0	5
32305	8866	1068608	0	5
32498	8952	1068736	0	5
32627	9122	1068800	0	5
32780	9269	1068928	0	5
32960	9378	1068992	0	5
33167	9376	1069120	0	5
33373	9331	1069248	0	5
33567	9255	1069440	0	5
33774	9228	1069632	0	5
33984	9234	1069888	0	5
34188	9227	1070208	0	5
34393	9223	1070464	0	5
34599	9223	1070784	0	5
34805	9223	1071104	0	5
35009	9223	1071424	0	5
35209	9205	1071808	0	5
35414	9180	1072000	0	5
35621	9147	1072256	0	5
35828	9114	1072384	0	5
36035	9074	1072576	0	5
36244	9039	1072704	0	5
36453	8984	1072960	0	5
36651	8917	1073216	0	5
36849	8840	1073408	0	5
36977	8998	1073280	0	5
37008	9204	1073088	0	5
37080	9405	1072960	0	5
37176	9589	1072768	0	5
37263	9784	1072512	0	5
37337	9973	1072256	0	5
37408	10164	1071872	0	5
37487	10358	1071616	0	5
37591	10544	1071360	0	5
37726	10700	1071168	0	5
37899	10824	1071040	0	5
38064	10967	1070976	0	5
38220	11110	1070848	0	5
38364	11263	1070720	0	5
38506	11419	1070464	0	5
38640	11584	1070208	0	5
38766	11743	1069760	0	5
38863	11919	1069184	0	5
38947	12120	1068480	0	5
39040	12317	1067648	0	5
39133	12509	1066880	0	5
39220	12704	1065984	0	5
39304	12898	1065152	0	5
39388	13092	1064384	0	5
39471	13282	1063424	0	5
39555	13474	1062464	0	5
39663	13652	1061760	0	5
39814	13806	1060672	0	5
39956	13961	1059584	0	5
40100	14118	1058496	0	5
40233	14274	1057600	0	5
40363	14428	1056768	0	5
40484	14598	1055808	0	5
40611	14766	1055040	0	5
40747	14926	1054208	0	5
40877	15079	1053504	0	5
41009	15238	1052864	0	5
41141	15399	1052352	0	5
41258	15570	1051776	0	5
41368	15746	1051136	0	5
41457	15933	1050560	0	5
41490	16142	1050048	0	5
41565	16338	1049600	0	5
41452	16161	1050048	0	5
41358	15974	1050560	0	5
41263	15794	1051200	0	5
41164	15611	1051840	0	5
41061	15436	1052352	0	5
40940	15265	1052864	0	5
40821	15095	1053632	0	5
40704	14931	1054272	0	5
40580	14759	1055104	0	5
40456	14587	1056000	0	5
40333	14416	1056832	0	5
40201	14243	1057792	0	5
40057	14087	1058752	0	5
39929	13923	1059840	0	5
39809	13751	1061056	0	5
39687	13577	1061952	0	5
39573	13412	1062720	0	5
39464	13239	1063680	0	5
39363	13063	1064512	0	5
39267	12883	1065344	0	5
39170	12702	1066176	0	5
39079	12512	1066816	0	5
38995	12315	1067712	0	5
38913	12119	1068480	0	5
38830	11918	1069184	0	5
38730	11740	1069824	0	5
38610	11574	1070272	0	5
38467	11412	1070528	0	5
38314	11264	1070720	0	5
38165	11114	1070912	0	5
38033	10949	1070976	0	5
37901	10784	1071040	0	5
37769	10619	1071168	0	5
37637	10454	1071424	0	5
37505	10289	1071680	0	5
37373	10124	1071936	0	5
37253	9954	1072192	0	5
37206	9748	1072576	0	5
37173	9544	1072832	0	5
37140	9336	1073024	0	5
37107	9127	1073216	0	5
37090	8919	1073536	0	5
37249	8794	1073792	0	5
37450	8733	1073920	0	5
37659	8700	1074048	0	5
37868	8667	1074176	0	5
38074	8634	1074304	0	5
38282	8592	1074432	0	5
38487	8548	1074624	0	5
38693	8504	1074944	0	5
38900	8460	1075136	0	5
39104	8416	1075520	0	5
39310	8372	1075904	0	5
39517	8328	1076416	0	5
39721	8284	1076928	0	5
39930	8257	1077184	0	5
40138	8288	1077504	0	5
40327	8365	1077696	0	5
40520	8453	1077952	0	5
40709	8532	1078400	0	5
40904	8617	1078976	0	5
41098	8701	1079424	0	5
41291	8793	1080000	0	5
41463	8909	1080640	0	5
41645	9031	1081216	0	5
41820	9151	1081536	0	5
41975	9296	1081984	0	5
42132	9439	1082368	0	5
42308	9553	1082752	0	5
42488	9661	1083584	0	5
42670	9771	1084672	0	5
42850	9879	1085632	0	5
43032	9989	1086592	0	5
43216	10101	1087552	0	5
43388	10220	1088512	0	5
43560	10347	1089600	0	5
43737	10471	1090560	0	5
43908	10591	1091520	0	5
44082	10724	1091968	0	5
44249	10854	1092032	0	5
44430	10960	1092032	0	5
44634	11017	1092032	0	5
44844	11026	1092032	0	5
45047	11018	1092480	0	5
45247	10984	1093312	0	5
45456	10980	1094400	0	5
45670	10980	1095680	0	5
45870	10959	1096896	0	5
46084	10941	1098176	0	5
46297	10938	1099072	0	5
46508	10938	1099776	0	5
46709	10938	1100288	0	5
46919	10899	1101056	0	5
47113	10819	1101888	0	5
47298	10740	1102784	0	5
47486	10658	1103616	0	5
47672	10577	1104640	0	5
47875	10529	1105472	0	5
48087	10482	1106048	0	5
47880	10455	1105536	0	5
47682	10518	1104896	0	5
47501	10626	1103808	0	5
47327	10728	1102784	0	5
47122	10801	1101952	0	5
46918	10863	1101120	0	5
46722	10935	1100416	0	5
46519	11005	1099712	0	5
46307	11011	1099072	0	5
46107	10984	1098176	0	5
45895	10964	1097088	0	5
45692	10951	1095680	0	5
45491	10944	1094592	0	5
45286	10975	1093568	0	5
45086	11008	1092608	0	5
44886	11011	1092096	0	5
44691	11077	1092032	0	5
44622	11276	1092032	0	5
44609	11485	1092032	0	5
44585	11697	1092608	0	5
44551	11905	1093632	0	5
44516	12120	1094592	0	5
44482	12326	1095552	0	5
44458	12541	1096448	0	5
44439	12751	1097536	0	5
44418	12968	1098560	0	5
44383	13171	1099328	0	5
44317	13369	1099328	0	5
44252	13567	1099328	0	5
44199	13770	1099328	0	5
44194	13979	1099328	0	5
44225	14188	1099328	0	5
44285	14391	1099328	0	5
44297	14600	1099328	0	5
44353	14803	1099328	0	5
44419	15001	1099328	0	5
44485	15199	1099328	0	5
44551	15397	1099328	0	5
44618	15595	1099328	0	5
44695	15793	1099328	0	5
44767	15992	1099328	0	5
44806	16201	1099328	0	5
44848	16410	1099328	0	5
44893	16619	1099328	0	5
44948	16828	1099328	0	5
45003	17037	1099328	0	5
45061	17244	1099328	0	5
45150	17427	1099904	0	5
45295	17581	1100864	0	5
45392	17765	1101824	0	5
45429	17967	1101952	0	5
45429	18178	1102016	0	5
45429	18387	1102016	0	5
45429	18596	1102016	0	5
45429	18805	1102080	0	5
45429	19014	1102080	0	5
45429	19223	1102080	0	5
45429	19432	1102080	0	5
45429	19637	1102080	0	5
45429	19846	1102016	0	5
45429	20055	1102016	0	5
45429	20264	1101952	0	5
45429	20474	1101952	0	5
45403	20683	1101952	0	5
45381	20892	1101952	0	5
45380	21102	1101952	0	5
45380	21311	1101952	0	5
45380	21520	1101952	0	5
45380	21729	1101952	0	5
45380	21938	1101952	0	5
45380	22147	1101952	0	5
45380	22356	1101952	0	5
45380	22565	1101952	0	5
45380	22774	1101952	0	5
45386	22983	1101952	0	5
45408	23192	1101952	0	5
45428	23401	1101952	0	5
45439	23610	1101952	0	5
45451	23822	1102912	0	5
45456	24036	1104128	0	5
45456	24247	1105152	0	5
45456	24456	1105408	0	5
45456	24671	1106432	0	5
45473	24885	1107776	0	5
45498	25088	1108736	0	5
45499	25295	1108992	0	5
45499	25502	1110016	0	5
45505	25705	1111296	0	5
45505	25912	1112192	0	5
45505	26121	1112128	0	5
45505	26327	1112128	0	5
45505	26536	1112128	0	5
45505	26745	1112128	0	5
45518	26954	1112192	0	5
45540	27161	1113216	0	5
45553	27362	1114496	0	5
45559	27577	1115136	0	5
45567	27791	1115712	0	5
45580	27992	1116736	0	5
45580	28193	1118016	0	5
45580	28408	1118656	0	5
45580	28622	1119232	0	5
45580	28825	1120256	0	5
45580	29041	1121472	0	5
45580	29258	1122176	0	5
45580	29467	1122112	0	5
45580	29676	1122112	0	5
45580	29885	1122112	0	5
45580	30094	1122176	0	5
45580	30303	1122176	0	5
45580	30512	1122240	0	5
45580	30719	1122304	0	5
45580	30924	1122432	0	5
45580	31133	1122432	0	5
45578	31343	1122432	0	5
45512	31544	1122432	0	5
45406	31727	1122432	0	5
45267	31887	1122432	0	5
45101	32019	1122432	0	5
44911	32113	1122432	0	5
44705	32166	1122432	0	5
44496	32192	1122432	0	5
44287	32213	1122432	0	5
44078	32235	1122432	0	5
43869	32264	1122432	0	5
43667	32326	1122432	0	5
43490	32441	1122432	0	5
43357	32608	1122432	0	5
43207	32758	1122432	0	5
43053	32901	1122432	0	5
42899	33044	1122560	0	5
42767	33203	1122560	0	5
42739	33404	1122688	0	5
42810	33594	1122368	0	5
42900	33778	1122240	0	5
42937	33985	1122304	0	5
43042	34167	1122368	0	5
43204	34302	1122368	0	5
43314	34481	1122432	0	5
43348	34687	1122432	0	5
43346	34903	1122432	0	5
43337	35112	1122432	0	5
43342	35322	1122432	0	5
43305	35526	1122432	0	5
43259	35728	1122432	0	5
43357	35915	1122432	0	5
43459	36101	1122432	0	5
43597	36260	1122432	0	5
43801	36309	1122432	0	5
44010	36300	1122432	0	5
44211	36236	1122432	0	5
44409	36170	1122432	0	5
44607	36104	1122432	0	5
44805	36038	1122496	0	5
45003	35972	1122432	0	5
45201	35906	1122432	0	5
45399	35840	1122432	0	5
45580	35729	1122432	0	5
45737	35587	1122432	0	5
45891	35444	1122432	0	5
46066	35327	1122496	0	5
46260	35247	1122432	0	5
46440	35135	1122432	0	5
46643	35078	1122432	0	5
46854	35075	1122432	0	5
47063	35075	1122432	0	5
47272	35075	1122432	0	5
47481	35075	1122432	0	5
47690	35064	1122432	0	5
47899	35031	1122432	0	5
48106	34997	1122624	0	5
48309	34959	1122944	0	5
48515	34910	1122880	0	5
48717	34848	1123072	0	5
48923	34795	1123200	0	5
49120	34720	1123264	0	5
49318	34640	1123200	0	5
49526	34597	1123328	0	5
49735	34575	1123392	0	5
49943	34553	1123456	0	5
50147	34531	1123392	0	5
50356	34509	1123264	0	5
50565	34490	1123136	0	5
50775	34496	1123008	0	5
50986	34496	1122944	0	5
51204	34496	1123072	0	5
51405	34496	1123008	0	5
51611	34496	1123008	0	5
51824	34496	1123008	0	5
52036	34497	1123072	0	5
52245	34527	1123072	0	5
52454	34582	1123200	0	5
52661	34637	1123264	0	5
52868	34693	1123200	0	5
53026	34832	1123200	0	5
53202	34953	1123392	0	5
53344	35106	1123584	0	5
53344	35324	1123840	0	5
53214	35481	1123520	0	5
53028	35564	1123008	0	5
52836	35650	1122944	0	5
52658	35760	1123008	0	5
52459	35819	1123008	0	5
52265	35903	1122944	0	5
52078	35996	1122944	0	5
51878	36063	1123200	0	5
51677	36102	1123136	0	5
51472	36144	1123008	0	5
51263	36170	1123008	0	5
51049	36176	1122880	0	5
50848	36187	1122496	0	5
50639	36213	1122496	0	5
50438	36271	1122752	0	5
50229	36314	1122816	0	5
50013	36321	1122560	0	5
49798	36321	1122688	0	5
49578	36321	1122752	0	5
49358	36321	1122752	0	5
49139	36321	1122816	0	5
48930	36341	1122816	0	5
48721	36377	1122880	0	5
48515	36410	1122752	0	5
48309	36443	1122496	0	5
48102	36478	1122496	0	5
47899	36541	1122432	0	5
47712	36640	1122432	0	5
47512	36696	1122432	0	5
47307	36727	1122432	0	5
47117	36635	1122432	0	5
46914	36571	1122432	0	5
46725	36472	1122432	0	5
46538	36379	1122432	0	5
46340	36299	1122432	0	5
46142	36228	1122560	0	5
45933	36184	1122432	0	5
45725	36207	1122496	0	5
45579	36361	1122560	0	5
45503	36559	1123072	0	5
45495	36768	1123840	0	5
45495	36977	1124672	0	5
45495	37186	1125248	0	5
45495	37395	1125248	0	5
45495	37604	1125248	0	5
45495	37813	1125248	0	5
45495	38022	1125248	0	5
45495	38231	1125248	0	5
45491	38440	1125248	0	5
45488	38651	1125248	0	5
45503	38862	1124800	0	5
45503	39072	1123840	0	5
45503	39281	1123200	0	5
45503	39490	1122496	0	5
45503	39699	1122496	0	5
45499	39909	1122496	0	5
45420	40105	1122496	0	5
45297	40278	1122496	0	5
45143	40425	1122496	0	5
44955	40517	1122496	0	5
44746	40558	1122496	0	5
44537	40571	1122496	0	5
44328	40582	1122496	0	5
44119	40593	1122496	0	5
43910	40604	1122496	0	5
43701	40615	1122496	0	5
43492	40626	1122496	0	5
43283	40637	1122496	0	5
43074	40635	1122496	0	5
42870	40577	1122496	0	5
42662	40566	1122496	0	5
42453	40576	1122496	0	5
42244	40576	1122496	0	5
42035	40576	1122496	0	5
41826	40576	1122624	0	5
41616	40576	1122816	0	5
41405	40571	1123008	0	5
41185	40571	1122816	0	5
40965	40571	1122816	0	5
40753	40548	1122816	0	5
40593	40421	1122368	0	5
40429	40288	1122368	0	5
40241	40189	1122368	0	5
40038	40128	1122368	0	5
39829	40121	1122368	0	5
39622	40156	1122368	0	5
39477	40308	1122368	0	5
39402	40505	1122368	0	5
39465	40702	1122368	0	5
39573	40879	1122368	0	5
39776	40897	1122368	0	5
39984	40853	1122368	0	5
40192	40817	1122368	0	5
40388	40739	1122368	0	5
40586	40664	1122368	0	5
40794	40608	1122816	0	5
41003	40569	1122816	0	5
41212	40552	1122816	0	5
41423	40553	1122816	0	5
41632	40573	1122816	0	5
41742	40391	1122816	0	5
41788	40601	1122816	0	5
41972	40697	1122496	0	5
42145	40815	1122624	0	5
42195	41016	1122432	0	5
42231	41225	1122432	0	5
42249	41434	1122432	0	5
42260	41643	1122432	0	5
42271	41852	1122432	0	5
42282	42061	1122432	0	5
42283	42270	1122432	0	5
42283	42479	1122496	0	5
42283	42688	1122496	0	5
42283	42897	1122496	0	5
42283	43106	1122496	0	5
42283	43315	1122496	0	5
42283	43524	1122496	0	5
42251	43729	1122496	0	5
42143	43910	1122496	0	5
41961	44016	1122496	0	5
41752	44036	1122432	0	5
41549	43973	1122432	0	5
41340	43980	1122432	0	5
41131	43993	1122432	0	5
40920	43999	1122432	0	5
40711	43963	1122432	0	5
40502	43919	1122432	0	5
40293	43875	1122432	0	5
40084	43831	1122432	0	5
39875	43787	1122432	0	5
39666	43744	1122432	0	5
39457	43718	1122432	0	5
39248	43718	1122432	0	5
39039	43726	1122432	0	5
38830	43759	1122432	0	5
38621	43792	1122432	0	5
38412	43825	1122432	0	5
38203	43858	1122432	0	5
37998	43907	1122432	0	5
37839	44042	1122432	0	5
37727	44222	1122432	0	5
37659	44421	1122432	0	5
37738	44615	1122432	0	5
37810	44813	1122432	0	5
37794	45023	1122432	0	5
37695	45209	1122432	0	5
37620	45407	1122432	0	5
37554	45605	1122432	0	5
37488	45803	1122432	0	5
37432	46011	1122432	0	5
37377	46220	1122432	0	5
37322	46429	1122432	0	5
37267	46638	1122432	0	5
37217	46847	1122432	0	5
37206	47056	1122432	0	5
37195	47265	1122432	0	5
37184	47474	1122432	0	5
37173	47683	1122432	0	5
37162	47892	1122432	0	5
37151	48101	1122432	0	5
37143	48310	1122432	0	5
37151	48520	1122432	0	5
37162	48729	1122432	0	5
37172	48938	1122432	0	5
37172	49147	1122432	0	5
37172	49356	1122432	0	5
37172	49561	1122624	0	5
37172	49779	1123264	0	5
37172	49988	1124160	0	5
37172	50197	1124352	0	5
37172	50406	1124608	0	5
37172	50607	1125376	0	5
37172	50816	1125696	0	5
37380	50854	1125632	0	5
37587	50830	1125760	0	5
37785	50754	1125824	0	5
37979	50670	1125952	0	5
38157	50562	1126272	0	5
38328	50446	1126592	0	5
38496	50317	1126784	0	5
38631	50155	1126976	0	5
38763	49994	1127104	0	5
38895	49830	1127168	0	5
39027	49665	1127296	0	5
39159	49500	1127360	0	5
39313	49355	1127424	0	5
39479	49221	1127424	0	5
39633	49073	1127424	0	5
39787	48921	1127424	0	5
39953	48790	1127488	0	5
40150	48715	1127488	0	5
40359	48663	1127424	0	5
40568	48627	1127424	0	5
40778	48621	1127424	0	5
40979	48678	1127424	0	5
41112	48837	1127488	0	5
41242	49004	1127488	0	5
41287	49206	1127424	0	5
41287	49420	1128128	0	5
41268	49627	1128768	0	5
41307	49827	1128832	0	5
41484	49933	1128768	0	5
41688	49882	1128768	0	5
41897	49862	1128768	0	5
42108	49870	1128768	0	5
42317	49887	1128768	0	5
42108	49916	1128768	0	5
41898	49916	1128768	0	5
41689	49916	1128768	0	5
41480	49900	1128768	0	5
41341	49751	1128768	0	5
41315	49547	1128576	0	5
41316	49340	1127808	0	5
41334	49124	1127424	0	5
41425	48937	1127488	0	5
41597	48812	1127424	0	5
41773	48691	1127424	0	5
41949	48570	1127424	0	5
42125	48449	1127424	0	5
42301	48328	1127424	0	5
42477	48207	1127424	0	5
42591	48034	1127424	0	5
42669	47841	1127424	0	5
42684	47632	1127424	0	5
42706	47423	1127424	0	5
42773	47223	1127424	0	5
42888	47044	1127424	0	5
43050	46910	1127424	0	5
43249	46836	1127424	0	5
43455	46875	1127424	0	5
43666	46892	1127424	0	5
43873	46851	1127424	0	5
44072	46786	1127424	0	5
44281	46741	1127424	0	5
44490	46721	1127424	0	5
44700	46721	1127424	0	5
44909	46721	1127424	0	5
45115	46757	1127424	0	5
45294	46870	1127424	0	5
45394	47054	1127680	0	5
45400	47265	1128320	0	5
45400	47476	1128832	0	5
45353	47683	1129152	0	5
45213	47843	1129152	0	5
45214	48053	1129152	0	5
45253	48262	1129152	0	5
45259	48471	1129152	0	5
45247	48681	1129152	0	5
45144	48864	1129152	0	5
45037	49047	1129152	0	5
44998	49254	1129152	0	5
45013	49464	1129152	0	5
45087	49663	1129152	0	5
45209	49838	1129152	0	5
45319	50014	1129152	0	5
45290	50223	1129152	0	5
45272	50432	1129152	0	5
45250	50641	1128704	0	5
45247	50851	1128064	0	5
45263	51060	1127488	0	5
45267	51269	1127488	0	5
45294	51478	1127488	0	5
45327	51687	1127552	0	5
45360	51896	1127552	0	5
45380	52105	1127488	0	5
45380	52314	1127488	0	5
45380	52523	1127488	0	5
45380	52732	1127488	0	5
45171	52779	1127488	0	5
44962	52802	1127488	0	5
44753	52824	1127424	0	5
44544	52858	1127424	0	5
44338	52913	1127488	0	5
44129	52942	1127488	0	5
43920	52986	1127488	0	5
43711	53031	1127488	0	5
43518	53117	1127488	0	5
43326	53211	1127488	0	5
43128	53299	1127488	0	5
42925	53363	1127488	0	5
42716	53385	1127488	0	5
42507	53407	1127488	0	5
42298	53429	1127488	0	5
42089	53451	1127488	0	5
41879	53460	1127488	0	5
41669	53458	1127488	0	5
41460	53479	1127488	0	5
41290	53602	1127488	0	5
41254	53808	1127488	0	5
41244	54024	1128064	0	5
41251	54235	1128064	0	5
41262	54444	1128064	0	5
41262	54653	1128064	0	5
41262	54862	1128064	0	5
41262	55071	1128064	0	5
41262	55280	1128064	0	5
41262	55489	1128064	0	5
41262	55694	1128320	0	5
41262	55913	1128640	0	5
41262	56122	1128640	0	5
41262	56331	1128640	0	5
41262	56543	1128640	0	5
41246	56754	1128640	0	5
41242	56965	1128640	0	5
41242	57179	1128064	0	5
41242	57388	1128064	0	5
41242	57595	1127936	0	5
41244	57812	1127488	0	5
41273	58021	1127488	0	5
41278	58230	1127488	0	5
41269	58440	1127488	0	5
41147	58607	1127488	0	5
40948	58669	1127488	0	5
40734	58666	1127744	0	5
40523	58668	1128064	0	5
40318	58707	1128064	0	5
40131	58806	1128064	0	5
39991	58960	1128064	0	5
39943	59166	1128064	0	5
39946	59375	1128128	0	5
39949	59575	1127488	0	5
39985	59784	1127424	0	5
40045	60012	1127424	0	5
40089	60221	1127424	0	5
40100	60430	1127424	0	5
40113	60639	1127424	0	5
40158	60848	1127424	0	5
40174	61057	1127424	0	5
40176	61266	1127424	0	5
40198	61475	1127424	0	5
40238	61681	1127424	0	5
40431	61758	1127424	0	5
40642	61753	1127424	0	5
40827	61845	1127424	0	5
40881	62054	1127808	0	5
40883	62264	1128448	0	5
40883	62478	1129088	0	5
40884	62689	1128704	0	5
41093	62708	1128768	0	5
41304	62708	1128768	0	5
41513	62691	1128768	0	5
41722	62669	1128768	0	5
41931	62647	1128768	0	5
42140	62624	1128768	0	5
42307	62503	1128768	0	5
42420	62323	1128768	0	5
42560	62165	1128768	0	5
42714	62020	1128768	0	5
42893	61911	1128768	0	5
43087	61823	1128768	0	5
43285	61746	1128768	0	5
43483	61669	1128768	0	5
43681	61592	1128768	0	5
43887	61538	1128768	0	5
44096	61494	1128768	0	5
44305	61447	1128768	0	5
44505	61383	1128768	0	5
44703	61317	1128768	0	5
44834	61149	1128768	0	5
44847	60939	1128832	0	5
44832	60730	1128768	0	5
44830	60523	1128064	0	5
44810	60312	1127488	0	5
44728	60116	1127488	0	5
44585	59961	1127488	0	5
44441	59806	1127488	0	5
44328	59633	1127616	0	5
44217	59455	1127552	0	5
44159	59256	1128256	0	5
44152	59054	1129024	0	5
44167	58842	1129216	0	5
44167	58633	1129216	0	5
44167	58424	1129088	0	5
44167	58215	1129088	0	5
44167	58006	1129088	0	5
44167	57797	1129088	0	5
44160	57588	1129088	0	5
