ID	Name	DisplayName	Perform	Broadcast	MaxLootRange	bCanPK	bCanDuel	Type	MaxCopyCount	FarmerMaxCopyCount	MinPlayerCount	MaxPlayerCount	MaxFullLevelPlayerCount	KeepTime	ManualReset	RefreshCycle	RefreshOffset	MapDrop	ReviveInSitu	UseLastEntry	LimitTimes	BanSkillMask	BattleRelationMask	RevieCycle	AllScenePlayerInFight	ResourcePath	LoginIntervalTime	PreQueuePlayerCount	DoNotGoThroughRoof	QuestCountAchID	CampType	FightList	NeedCampBuff	MaxMapLevel	bCanTongWar	CanJoinBattleField	BanUseItemMask	CanJoinArena	IsArenaMap	NewCampFight	CanJoinTongBattlefield	MapCostThew	InvalidBuffMask	SingleMap	BanChangeTalent	CanSprint	DisableChangeEquip	DisableTalk	QueueForSwitchWhenFull	CampQueue	MaxNeutralPlayerCount	MaxGoodPlayerCount	MaxEvilPlayerCount	InvalidEnchantMask	ForceCheckProgress	IsTongWarMap	MaxCastleVIPPlayerCount	CanJoinCastleVIPQueue	BanTradeItemMask	CanTradeMoney	BanEquipItemMask	CanExistItemMask	IsBattlefield	IsDungeonRoleProgressMap
21	巴陵县	巴陵县	100	1	2	1	1	0	1	0	1	1800		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\巴陵县\巴陵县.jsonmap	0	1024	0	393	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
22	南屏山	南屏山	100	1	2	1	1	0	1	0	1	1200		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\南屏山\南屏山.jsonmap	0	1024	0	392	5	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
23	龙门荒漠	龙门荒漠	100	1	2	1	1	0	1	0	1	1800		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\龙门荒漠\龙门荒漠.jsonmap	0	1024	0	390	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
25	浩气盟	浩气盟	100	1	2	0	1	0	1	0	1	1200		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\浩气盟\浩气盟.jsonmap	0	1024	0	781	5	0	1		0	0	0	0	0	1	0		0	0	0	1			1	1	200	400	400	2	0				1	1	1	0		
26	荻花宫前山	荻花宫前山	100	2	4	0	0	1	256	64	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\荻花宫前山\荻花宫前山.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
27	恶人谷	恶人谷	100	1	2	0	1	0	1	0	1	1200		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\恶人谷\恶人谷.jsonmap	0	1024	0	406	5	0	1		0	0	0	0	0	1	0		0	0	0	1			1	1	200	400	400	2	0				1	1	1	0		
28	日轮山城	日轮山城	100	2	4	0	0	1	256	64	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\日轮山城\日轮山城.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
29	五十级云湖天池	五十级云湖天池	100	4	5	0	0	2	100	0	1	24		10	0	0	0		0	1	0	0	2	160	0	data\source\maps\五十级云湖天池\五十级云湖天池.jsonmap	0	10	0		5	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
30	昆仑	昆仑	100	2	2	1	1	0	1	0	1	1200		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\昆仑\昆仑.jsonmap	0	1024	0	391	5	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
31	特殊光照地图1	特殊光照地图2	100	1	2	0	0	0	1	0	1	64		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\特殊光照地图1\特殊光照地图1.jsonmap	0	64	0		1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
32	战宝迦兰	战宝迦兰	100	2	6	0	0	1	256	0	1	10		10	1	4320	420		0	1	0	3	0	0	0	data\source\maps\战宝迦兰\战宝迦兰.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	120	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
33	天子峰	天子峰	100	2	4	0	0	1	256	64	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\天子峰\天子峰.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
34	风雨稻香村	风雨稻香村	100	2	4	0	0	1	256	64	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\风雨稻香村\风雨稻香村.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
35	瞿塘峡	瞿塘峡	100	1	2	1	1	0	1	0	1	1800		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\瞿塘峡\瞿塘峡.jsonmap	0	1024	0	789	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
36	英雄天地三才阵	英雄天地三才阵	100	2	4	0	0	1	256	0	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\英雄天地三才阵\英雄天地三才阵.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
37	英雄天工坊	英雄天工坊	100	2	4	0	0	1	256	0	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\英雄天工坊\英雄天工坊.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
38	神农洇	神农洇	100	4	5	0	0	2	100	0	1	34		2	0	0	0		0	1	0	0	2	160	0	data\source\maps\神农洇\神农洇.jsonmap	0	10	0		5	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				2	0	1	0	1	
39	四十级云湖天池	四十级云湖天池	100	4	5	0	0	2	100	0	1	24		2	0	0	0		0	1	0	0	2	160	0	data\source\maps\四十级云湖天池\四十级云湖天池.jsonmap	0	10	0		5	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				2	0	1	0	1	
40	英雄荻花宫前山	英雄荻花宫前山	100	2	4	0	0	1	256	0	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\英雄荻花宫前山\英雄荻花宫前山.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
41	英雄无盐岛	英雄无盐岛	100	2	4	0	0	1	256	0	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\英雄无盐岛\英雄无盐岛.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
42	英雄天子峰	英雄天子峰	100	2	4	0	0	1	256	0	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\英雄天子峰\英雄天子峰.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
43	英雄空雾峰	英雄空雾峰	100	2	4	0	0	1	256	0	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\英雄空雾峰\英雄空雾峰.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
44	英雄日轮山城	英雄日轮山城	100	2	4	0	0	1	256	0	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\英雄日轮山城\英雄日轮山城.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
45	英雄灵霄峡	英雄灵霄峡	100	2	4	0	0	1	256	0	1	5		10	1	1440	420	2	0	1	0	3	0	0	0	data\source\maps\英雄灵霄峡\英雄灵霄峡.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
46	英雄战宝迦兰	英雄战宝迦兰	100	2	6	0	0	1	256	0	1	25		10	1	10080	6180		0	1	0	3	0	0	0	data\source\maps\英雄战宝迦兰\英雄战宝迦兰.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	240	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
47	英雄风雨稻香村	英雄风雨稻香村	100	2	4	0	0	1	100	0	1	5		10	1	1440	420		0	1	0	3	0	0	0	data\source\maps\英雄风雨稻香村\英雄风雨稻香村.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
48	珍珑棋谷	珍珑棋谷	100	4	5	0	0	2	512		1	54		2	0	0	0		0	1	0	0	2	160	0	data\source\maps\珍珑棋谷\珍珑棋谷.jsonmap	0	0	0		5	0	0		0	0	0	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0									
49	藏剑山庄	藏剑山庄	100	1	2	0	1	0	1	0	1	1800	1024	10	0	0	0	4	1	0	0	0	0	0	0	data\source\maps\藏剑山庄\藏剑山庄.jsonmap	0	1024	0	1337	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
51	剑冢	剑冢	100	2	4	0	0	1	128	0	1	5		10	1	1440	420	0	0	1	0	3	0	0	0	data\source\maps\剑冢\剑冢.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0		20	0	0	0				0	0	0	0	1	1	1				1	1	1	0		
52	七十级云湖天池	七十级云湖天池	100	4	5	0	0	2	100	0	1	24		2	0	0	0		0	1	0	0	2	160	0	data\source\maps\七十级云湖天池\七十级云湖天池.jsonmap	0	10	0		5	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				2	0	1	0	1	
53	邀星坪_夜射天狼	邀星坪_夜射天狼	100	4	4	0	0	1	128	0	1	2		2	1	0	0		0	1	0	3	0	0	0	data\source\maps\邀星坪_夜射天狼\邀星坪_夜射天狼.jsonmap	0	2	0		1	0	0		0	0	0	0	0	0	0		0	0	0	0			1	0	0	0	0	1	0				1	1	1	0		
55	守株围场_打猎	守株围场_打猎	100	2	4	0	0	1	64	0	1	2		2	1	0	0		0	1	0	3	0	0	0	data\source\maps\守株围场_打猎\守株围场_打猎.jsonmap	0	2	0		1	0	0		0	0	0	0	0	0	0		0	0	0	0			1	0	0	0	0	1	0				1	1	1	0		
56	困龙岭_梅花桩	困龙岭_梅花桩	100	2	4	0	0	1	64	0	1	2		2	1	0	0		0	1	0	3	0	0	0	data\source\maps\困龙岭_梅花桩\困龙岭_梅花桩.jsonmap	0	2	0		1	0	0		0	0	0	0	0	0	0		0	0	0	0			1	0	0	0	0	1	0				1	1	1	0		
57	陷空坳_宇文宝藏	陷空坳_宇文宝藏	100	2	4	0	0	1	128	0	1	2		2	1	0	0		0	1	0	3	0	0	0	data\source\maps\陷空坳_宇文宝藏\陷空坳_宇文宝藏.jsonmap	0	2	0		1	0	0		0	0	0	0	0	0	0		0	0	0	0			1	0	0	0	0	1	0				1	1	1	0		
58	25人英雄荻花宫后山	25人英雄荻花宫后山	100	2	6	0	0	1	256	0	1	25		10	1	10080	6180	0	0	1	0	3	0	0	0	data\source\maps\25人英雄荻花宫后山\25人英雄荻花宫后山.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0		240	0	0	0				1	0	0	0	0	1	1				1	1	1	0		1
60	持国天王殿	持国天王殿	100	2	6	0	0	1	256	0	1	10		10	1	4320	420		0	1	0	3	0	0	0	data\source\maps\持国天王殿\持国天王殿.jsonmap	0	10	1		1	0	0		0	0	0	0	0	0		120	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
61	宫中神武遗迹	宫中神武遗迹	100	2	6	0	0	1	256	0	1	10		10	1	4320	420		0	1	0	3	0	0	0	data\source\maps\宫中神武遗迹\宫中神武遗迹.jsonmap	0	10	1		1	0	0		0	0	0	0	0	0		120	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
62	英雄剑冢	英雄剑冢	100	2	4	0	0	1	256	0	1	5		10	1	1440	420	0	0	1	0	3	0	0	0	data\source\maps\英雄剑冢\英雄剑冢.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0		50	0	0	0				0	0	0	0	1	1	1				1	1	1	0		
63	英雄宫中神武遗迹	英雄宫中神武遗迹	100	2	6	0	0	1	256	0	1	25		10	1	10080	6180		0	1	0	3	0	0	0	data\source\maps\英雄宫中神武遗迹\英雄宫中神武遗迹.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0		240	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
64	怀旧_商城视频专用	怀旧_商城视频专用	100	2	6	0	0	1	256	0	1	25		10	0	10080	6180		0	1	0	3	0	0	0	data\source\maps\怀旧_商城视频专用\怀旧_商城视频专用.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0		15	0	0	0	1			1	0	0	0	0	1	1				1	1	1	0		1
65	25人挑战持国天王殿	25人挑战持国天王殿	100	2	6	0	0	1	256	0	1	25		10	1	10080	6180		0	1	0	3	0	0	0	data\source\maps\25人挑战持国天王殿\25人挑战持国天王殿.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0		240	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
66	英雄持国天王殿	英雄持国天王殿	100	2	6	0	0	1	256	0	1	25		10	1	10080	6180		0	1	0	3	0	0	0	data\source\maps\英雄持国天王殿\英雄持国天王殿.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0		240	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
67	荻花宫后山	荻花宫后山	100	2	6	0	0	1	256	0	1	10		10	1	4320	420	0	0	1	0	3	0	0	0	data\source\maps\荻花宫后山\荻花宫后山.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0		120	0	0	0				0	0	0	0	1	1	1				1	1	1	0		1
68	荻花圣殿	荻花圣殿·正殿	100	2	6	0	0	1	256	0	1	10		10	1	4320	420	0	0	1	0	128	0	0	0	data\source\maps\25人英雄荻花圣殿02\25人英雄荻花圣殿02.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	120	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
69	10人英雄荻花圣殿	10人英雄荻花圣殿	100	2	6	0	0	1	1024	0	1	10		10	1	4320	420	1	0	1	0	128	0	0	0	data\source\maps\10人英雄荻花圣殿\10人英雄荻花圣殿.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	120	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
70	25人英雄荻花圣殿02	25人英雄荻花圣殿·正殿	100	2	6	0	0	1	256	0	1	25		10	1	10080	6180	0	0	1	0	128	0	0	0	data\source\maps\25人英雄荻花圣殿02\25人英雄荻花圣殿02.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	240	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
71	仙踪林	仙踪林	100	2	4	0	0	1	256	0	1	5		10	1	1440	420	0	0	1	0	3	0	0	0	data\source\maps\仙踪林\仙踪林.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
72	25人英雄荻花圣殿	25人英雄荻花圣殿上	100	2	6	0	0	1	1024	0	1	25		10	1	10080	6180	0	0	1	0	128	0	0	0	data\source\maps\25人英雄荻花圣殿\25人英雄荻花圣殿.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	240	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
74	帮会领地	帮会领地	100	1	4	0	1	4	640	256	1	200		3	0	0	0		1	1	0	6	0	0	0	data\source\maps\帮会领地\帮会领地.jsonmap	0	30	0		1	0	0		0	0	0	0	0	0	1		0	0	0	1			1	0	0	0	0	1	0				1	1	1	0		
75	毒神殿	毒神殿	100	2	4	0	0	1	256	0	1	5	10	10	1	1440	420	0	0	1	5	3	0	0	0	data\source\maps\毒神殿\毒神殿.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
100	白龙口	白龙口	100	1	2	1	1	0	1	0	1	800		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\白龙口\白龙口.jsonmap	0	1024	0	1854	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
101	无量山	无量山	100	1	2	1	1	0	1	0	1	800		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\无量山\无量山.jsonmap	0	1024	0	1861	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
102	五毒	五毒	100	1	2	0	1	0	1	0	1	1800	1024	10	0	0	0	4	1	0	0	0	0	0	0	data\source\maps\五毒\五毒.jsonmap	0	1024	0	1876	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
103	融天岭	融天岭	100	1	2	1	1	0	1	0	1	800		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\融天岭\融天岭.jsonmap	0	1024	0	1817	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
104	黑龙沼	黑龙沼	100	1	2	1	1	0	1	0	1	1800		10	0	0	0		1	0	0	0	0	0	0	data\source\maps\黑龙沼\黑龙沼.jsonmap	0	1024	0	1832	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
106	法王窟	法王窟	100	2	4	0	0	1	256	0	1	5	10	10	1	1440	420	0	0	1	5	3	0	0	0	data\source\maps\法王窟\法王窟.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
107	无量宫	无量宫	100	2	4	0	0	1	256	0	1	5	10	10	1	1440	420	0	0	1	5	3	0	0	0	data\source\maps\无量宫\无量宫.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
108	成都	成都	100	1	2	0	1	0	1	0	1	2500	1800	10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\成都\成都.jsonmap	0	1024	0	1807	1	0	0		0	1	0	1	0	0	1		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
110	寂灭厅	寂灭厅	100	2	4	0	0	1	256	0	1	5	10	10	1	1440	420	0	0	1	5	3	0	0	0	data\source\maps\寂灭厅\寂灭厅.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
111	英雄仙踪林	英雄仙踪林	100	2	4	0	0	1	256	0	1	5	10	10	1	1440	420	0	0	1	5	3	0	0	0	data\source\maps\仙踪林\仙踪林.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
112	英雄毒神殿	英雄毒神殿	100	2	4	0	0	1	256	0	1	5	10	10	1	1440	420	0	0	1	5	3	0	0	0	data\source\maps\毒神殿\毒神殿.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
113	英雄寂灭厅	英雄寂灭厅	100	2	4	0	0	1	256	0	1	5	10	10	1	1440	420	0	0	1	5	3	0	0	0	data\source\maps\寂灭厅\寂灭厅.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
114	英雄无量宫	英雄无量宫	100	2	4	0	0	1	256	0	1	5	10	10	1	1440	420	0	0	1	5	3	0	0	0	data\source\maps\无量宫\无量宫.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
115	英雄法王窟	英雄法王窟	100	2	4	0	0	1	256	0	1	5	10	10	1	1440	420	0	0	1	5	3	0	0	0	data\source\maps\法王窟\法王窟.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
116	低级仙踪林	低级仙踪林	100	2	4	0	0	1	256	0	1	5	10	10	1	1440	420	0	0	1	0	3	0	0	0	data\source\maps\仙踪林\仙踪林.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
117	25人英雄龙渊泽	25人英雄龙渊泽	100	2	6	0	1	1	256	0	1	25		10	1	10080	6180	0	0	1	0	131	0	0	0	data\source\maps\25人英雄龙渊泽\25人英雄龙渊泽.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	240	131	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
119	10人英雄龙渊泽	龙渊泽	100	2	6	0	1	1	1024	0	1	10		10	1	4320	420	1	0	1	0	131	0	0	0	data\source\maps\25人英雄龙渊泽\25人英雄龙渊泽.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	120	131	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
